x	y	z	HIV elongation arrest and recovery
244	284	21	1
240	286	21	1
232	278	24	1
237	278	24	1
245	284	24	1
246	284	24	1
245	287	24	1
246	287	24	1
248	289	24	1
249	289	24	1
244	290	24	2
231	268	25	1
236	268	25	1
227	272	25	1
228	272	25	1
233	272	25	1
236	273	25	1
231	274	25	1
233	274	25	1
235	275	25	1
238	275	25	1
232.5	276.5	25.5	1
233	276	25	2
234	276	25	1
237	276	25	1
248	276	25	1
231	277	25	2
232	277	25	1
235	277	25	1
247	277	25	1
231	278	25	1
234	278	25	1
237	278	25	2
231	279	25	1
237	279	25	4
241	279	25	1
247	279	25	1
232	280	25	1
248	280	25	1
231	281	25	1
235	281	25	2
240	281	25	1
245	281	25	1
249	281	25	2
214	282	25	1
238	282	25	1
247	282	25	1
249	282	25	1
230	283	25	2
239	283	25	1
213	284	25	1
234	284	25	2
237	284	25	1
244	284	25	2
249	284	25	2
215	285	25	1
232	285	25	1
235	285	25	2
237	285	25	1
241	285	25	3
246	285	25	1
248	285	25	1
253	285	25	3
218	286	25	1
236	286	25	1
245	286	25	1
252	286	25	1
223	287	25	2
242	287	25	4
246	287	25	1
252	287	25	1
224	288	25	4
236	288	25	1
237	288	25	1
251	288	25	1
234	289	25	1
235	289	25	1
237	289	25	1
241	289	25	1
242	289	25	1
244	289	25	1
248.5	289.5	25.5	1
250	289	25	1
235	290	25	1
236	290	25	1
243	290	25	1
236	291	25	1
240	291	25	1
246	291	25	3
250	291	25	1
235	292	25	1
237	292	25	1
242	292	25	1
244	292	25	1
239	293	25	1
240	293	25	1
243	293	25	2
239	294	25	1
241	294	25	1
243	294	25	1
247	294	25	1
243	295	25	1
238	296	25	1
239	296	25	1
244	296	25	1
240	298	25	1
243	299	25	1
239	300	25	2
240	300	25	1
239	302	25	1
176	259	26	1
182	259	26	1
229	264	26	1
230	264	26	1
215	265	26	1
232	265	26	1
234	265	26	1
230	267	26	1
234	267	26	2
241	267	26	1
233	268	26	2
241	268	26	1
229	269	26	2
237	269	26	2
227	270	26	1
234	270	26	2
238	270	26	1
250	270	26	1
236	271	26	2
240	271	26	1
217	272	26	1
223	272	26	1
226	272	26	2
230	272	26	1
232	272	26	1
234	272	26	2
231	273	26	1
237	273	26	2
239	273	26	1
238	274	26	1
237	275	26	1
231	276	26	1
233	276	26	1
237	276	26	1
207	277	26	1
209	277	26	1
210	277	26	1
213	277	26	1
230	277	26	1
231	277	26	1
236	277	26	1
239	277	26	1
235	278	26	1
239	278	26	1
251	278	26	1
233	279	26	1
240	279	26	1
248	279	26	1
250	279	26	2
232	280	26	1
234	280	26	1
238	280	26	1
241	280	26	2
249	280	26	2
231	281	26	2
232	281	26	3
236	281	26	1
237	281	26	1
244	281	26	2
208	282	26	1
233	282	26	1
234	282	26	1
249	282	26	1
227	283	26	1
231	283	26	1
233	283	26	1
234	283	26	1
239	283	26	1
245	283	26	1
246	283	26	1
248	283	26	1
212	284	26	1
215	284	26	1
234	284	26	1
237	284	26	2
241	284	26	1
242	284	26	1
244	284	26	1
252	284	26	1
234	285	26	1
235	285	26	1
245	285	26	1
247	285	26	1
250	285	26	1
225	286	26	1
235	286	26	2
237	286	26	1
240	286	26	1
242	286	26	2
243	286	26	1
249	286	26	1
250	286	26	1
251	286	26	1
254	286	26	3
232	287	26	1
238	287	26	1
243	287	26	1
250	287	26	1
251	287	26	1
252	287	26	1
253	287	26	1
240	288	26	1
241	288	26	1
243	288	26	1
249	288	26	3
250	288	26	1
252	288	26	1
222	289	26	1
223	289	26	1
227	289	26	1
238	289	26	2
248	289	26	1
251	289	26	1
252	289	26	1
225	290	26	1
228	290	26	1
233	290	26	1
240	290	26	1
242	290	26	1
232	291	26	2
238	291	26	1
240	291	26	1
242	291	26	1
250	291	26	2
226	292	26	1
238	292	26	1
247	292	26	4
251	292	26	2
254	292	26	1
234	293	26	1
236	293	26	2
246	293	26	2
247	293	26	1
240	294	26	1
242	294	26	1
245	294	26	1
246	294	26	1
234	295	26	1
239	295	26	1
242	295	26	1
248	295	26	1
254	295	26	1
235	296	26	2
239	296	26	2
240	296	26	1
242	296	26	1
243	296	26	1
244	296	26	2
245	297	26	2
246	297	26	1
236	298	26	3
241	299	26	1
241	300	26	3
235	301	26	1
184	256	27	1
186	257	27	1
185	259	27	1
188	259	27	1
229	259	27	1
231	259	27	1
181	260	27	1
185	260	27	2
228	260	27	1
234	260	27	1
235	260	27	1
177	261	27	1
185	261	27	1
186	261	27	2
187	261	27	1
220	261	27	2
222	261	27	1
229	261	27	1
235	261	27	1
236	261	27	2
177	262	27	2
180	262	27	1
227	262	27	1
229	262	27	1
232	262	27	1
