x	y	z	Pyruvate metabolism
246	292	21	1
248	286	24	1
239	287	24	1
243	288	24	1
244	288	24	1
227	273	25	1
233	279	25	1
238	279	25	1
235	284	25	1
245	286	25	1
227	292	25	1
243	299	25	1
239	302	25	1
182	259	26	1
232	265	26	1
234	267	26	1
227	270	26	1
207	276	26	1
250	277	26	1
232	286	26	1
238	286	26	1
243	289	26	1
240	296	26	1
185	259	27	1
240	260	27	1
232	264	27	1
233	265	27	1
236	267	27	1
243	268	27	1
228	269	27	1
232	269	27	1
204	272	27	1
227	272	27	1
234	272	27	1
238	272	27	1
247	272	27	1
177	274	27	1
208	274	27	1
211	276	27	1
232	276	27	1
211	277	27	1
235	278	27	1
246	278	27	1
240	279	27	1
251	279	27	1
240	280	27	1
236	281	27	1
245	282	27	1
250	282	27	1
239	283	27	1
254	283	27	1
236	284	27	1
253	284	27	1
254	284	27	1
253	285	27	1
211	286	27	1
238	288	27	1
235	289	27	1
254	289	27	1
224	290	27	1
241	290	27	1
251	291	27	1
220	292	27	1
239	292	27	1
249	292	27	1
251	294	27	1
218	295	27	1
217	297	27	1
246	297	27	1
241	299	27	1
245	299	27	1
244	302	27	1
237	305	27	1
232	266	28	1
235	268	28	1
254	283	28	1
246	284	28	1
245	285	28	1
221	262	29	1
214	267	29	1
237	268	29	1
232	269	29	1
175	270	29	1
227	270	29	1
251	271	29	1
232	272	29	1
239	274	29	1
236	277	29	1
235	279	29	1
246	280	29	1
214	281	29	1
245	281	29	1
212	282	29	1
232	284	29	1
233	284	29	1
244	284	29	1
248	284	29	1
254	285	29	1
244	287	29	1
235	289	29	1
236	289	29	1
240	291	29	1
237	292	29	1
239	293	29	1
247	295	29	1
239	296	29	1
240	297	29	1
215	298	29	1
239	299	29	1
183	257	30	1
181	258	30	1
239	258	30	1
238	259	30	1
224	261	30	1
230	261	30	1
178	262	30	1
242	263	30	1
230	264	30	1
238	264	30	1
245	264	30	1
192	265	30	1
196	265	30	1
213	265	30	1
234	265	30	1
213	266	30	1
244	268	30	1
183	271	30	1
225	271	30	1
239	272	30	1
203	273	30	1
213	273	30	1
240	273	30	1
177	274	30	1
207	276	30	1
241	276	30	1
251	280	30	1
252	280	30	1
218	281	30	1
236	283	30	1
252	284	30	1
225	286	30	1
229	286	30	1
248	286	30	1
249	286	30	2
222	287	30	1
225	288	30	1
250	288	30	1
226	290	30	1
232	290	30	1
239	291	30	1
224	292	30	1
241	292	30	1
245	293	30	1
247	293	30	1
227	294	30	1
231	294	30	1
245	294	30	1
252	294	30	1
253	294	30	1
228	295	30	1
241	295	30	1
243	295	30	1
220	296	30	1
227	297	30	1
241	298	30	1
248	298	30	1
250	298	30	1
242	299	30	1
222	300	30	1
229	302	30	1
232	253	31	1
234	258	31	2
