x	y	z	HIV elongation arrest and recovery
216.157603775171	275.673637444315	34.5586340221659	1
240	277	24	1
232	278	24	1
244	286	24	1
244	287	24	2
243	288	24	1
244	288	24	1
245	288	24	1
249	288	24	1
247	289	24	1
248	289	24	1
244	290	24	2
232	265	25	2
231	268	25	1
236	268	25	2
233	269	25	1
233	272	25	1
235	273	25	1
233	274	25	1
235	274	25	1
238	274	25	1
235	276	25	1
236	276	25	1
232	277	25	1
233	277	25	1
232	278	25	1
233	278	25	2
234	278	25	1
232	279	25	1
237	279	25	1
239	279	25	1
241	280	25	2
237	281	25	1
241	281	25	2
249	281	25	1
238	282	25	1
240	282	25	2
230	283	25	3
231	283	25	1
236	283	25	1
241	283	25	1
243	283	25	1
246	283	25	2
249	283	25	1
235	284	25	1
242	284	25	1
247	284	25	2
249	284	25	1
234	285	25	1
240	285	25	1
235	286	25	2
236	286	25	1
245	286	25	1
246	287	25	1
252	287	25	1
235	288	25	1
242	288	25	1
234	289	25	1
235	289	25	1
238	289	25	1
241	289	25	2
242	289	25	1
244	289	25	1
248.5	289.5	25.5	1
250	289	25	1
237	290	25	1
240	290	25	2
250	290	25	1
238	291	25	1
239	291	25	1
242	291	25	1
251	291	25	1
243	292	25	1
250	292	25	2
240	293	25	1
244	293	25	1
246	293	25	2
239	294	25	1
244	294	25	1
247	294	25	1
240	295	25	1
241	295	25	1
244	296	25	1
246	296	25	1
247	296	25	1
243	297	25	1
239	300	25	2
240	300	25	1
182	260	26	1
229	262	26	2
232	263	26	1
229	264	26	2
230	264	26	2
215	265	26	1
232	265	26	1
237	266	26	2
230	267	26	1
234	267	26	1
241	267	26	1
241	268	26	1
229	269	26	1
236	269	26	1
237	269	26	1
233	270	26	2
234	270	26	1
237	270	26	1
240	270	26	1
236	271	26	1
223	272	26	1
236	272	26	2
233	274	26	1
236	274	26	1
232	275	26	1
250	275	26	1
215	276	26	1
207	277	26	1
209	277	26	1
230	277	26	1
239	277	26	1
235	278	26	1
251	278	26	1
232	279	26	1
233	279	26	1
234	279	26	1
237	279	26	1
208	280	26	2
234	280	26	2
242	280	26	1
217	281	26	1
231	281	26	1
237	281	26	1
248	281	26	1
208	282	26	1
209	282	26	1
212	282	26	1
234	282	26	2
235	282	26	1
237	282	26	1
238	282	26	2
240	282	26	1
242	282	26	2
245	282	26	1
246	282	26	3
254	282	26	1
241	283	26	1
249	283	26	2
232	284	26	1
235	284	26	1
236	284	26	1
241	284	26	2
243	284	26	1
246	284	26	1
232	285	26	1
235	285	26	1
246	285	26	1
254	285	26	1
255	285	26	1
232	286	26	1
233	286	26	3
236	286	26	1
241	286	26	1
249	286	26	1
250	286	26	1
253	286	26	1
223	287	26	1
236	287	26	1
237	287	26	2
238	287	26	1
243	287	26	1
247	287	26	1
251	287	26	1
232	288	26	1
235	288	26	1
236	288	26	1
241	288	26	1
243	288	26	1
248	288	26	1
250	288	26	3
252	288	26	1
232	289	26	1
233	289	26	1
234	289	26	2
235	289	26	1
240	289	26	1
242	289	26	1
252	289	26	1
225	290	26	3
237	290	26	1
222	291	26	1
229	291	26	1
236	291	26	1
237	291	26	1
225	292	26	1
244	292	26	1
251	292	26	1
252	292	26	1
237	293	26	1
239	293	26	1
253	293	26	1
240	294	26	2
241	294	26	1
242	294	26	1
244	294	26	1
245	294	26	1
246	294	26	1
221	295	26	2
240	295	26	2
244	295	26	1
245	295	26	1
235	296	26	2
240	296	26	1
240	297	26	1
244	297	26	1
242	298	26	1
236	299	26	1
239	299	26	1
240	299	26	1
243	299	26	1
236	300	26	1
184	258	27	2
180	259	27	1
226	259	27	1
231	259	27	1
232	259	27	1
181	260	27	1
183	260	27	1
184	260	27	1
234	260	27	1
240	260	27	1
177	261	27	3
181	261	27	1
182	261	27	2
220	261	27	1
227	261	27	2
230	261	27	1
236	261	27	2
239	261	27	2
229	262	27	1
238	262	27	1
175	263	27	2
225	263	27	1
230	263	27	1
234	263	27	2
175	264	27	1
176	264	27	1
209	264	27	1
226	264	27	1
231	264	27	1
238	264	27	1
248	264	27	1
