x	y	z	tRNA processing
240	286	21	1
239	272	24	1
235	278	24	1
239	278	24	1
245	284	24	1
246	284	24	1
244	286	24	1
248	286	24	1
239	287	24	1
245	287	24	2
246	287	24	3
251	287	24	1
244	288	24	2
245	288	24	1
244	289	24	1
246	289	24	1
247	289	24	2
248	289	24	2
249	289	24	1
244	291	24	2
231	264	25	1
232	265	25	1
236	268	25	1
233	269	25	1
238	270	25	1
227	272	25	1
228	272	25	1
238	272	25	3
227	273	25	2
235	273	25	1
238	273	25	1
230	274	25	1
231	274	25	1
232	274	25	1
234	274	25	1
236	275	25	2
234	276	25	1
235	276	25	1
236	276	25	1
237	276	25	1
248	276	25	3
231	277	25	1
232	277	25	1
233	277	25	1
236	277	25	1
231	278	25	1
232	278	25	1
236	278	25	1
237	278	25	2
239	278	25	1
234	279	25	1
235	279	25	2
238	279	25	2
239	279	25	5
241	279	25	4
247	279	25	1
249	279	25	1
236	280	25	1
245	280	25	2
231	281	25	1
235	281	25	1
237	281	25	2
240	281	25	1
243	281	25	1
248	281	25	1
249	281	25	1
231	282	25	1
232	282	25	1
234	282	25	3
235	282	25	1
237	282	25	1
238	282	25	2
240	282	25	1
245	282	25	2
247	282	25	1
248	282	25	1
249	282	25	2
230	283	25	1
235	283	25	1
236	283	25	1
237	283	25	1
238	283	25	1
241	283	25	3
243	283	25	1
245	283	25	1
246	283	25	2
249	283	25	1
213	284	25	1
235	284	25	1
236	284	25	1
237	284	25	1
242	284	25	1
243	284	25	2
244	284	25	3
245	284	25	2
249	284	25	1
250	284	25	1
252	284	25	2
235	285	25	2
237	285	25	1
238	285	25	1
240	285	25	1
241	285	25	1
243	285	25	2
246	285	25	1
248	285	25	1
250	285	25	1
252	285	25	2
218	286	25	2
233	286	25	1
234	286	25	1
236	286	25	2
241	286	25	1
242	286	25	1
245	286	25	1
254	286	25	2
223	287	25	2
245	287	25	1
249	287	25	1
251	287	25	2
237	288	25	1
239	288	25	1
242	288	25	1
250	288	25	1
251	288	25	2
226	289	25	1
235	289	25	1
236	289	25	2
238	289	25	1
242	289	25	2
248.5	289.5	25.5	1
250	289	25	1
225	290	25	1
236	290	25	3
243	290	25	2
244	290	25	1
246	290	25	1
250	290	25	1
226	291	25	1
235	291	25	1
238	291	25	1
239	291	25	1
240	291	25	1
246	291	25	3
237	292	25	2
243	292	25	2
249	292	25	1
246	293	25	2
247	293	25	1
239	294	25	1
241	294	25	1
247	294	25	1
234	295	25	1
240	295	25	2
241	295	25	1
238	296	25	1
239	296	25	1
246	296	25	2
241	299	25	1
238	300	25	1
240	300	25	3
183	258	26	1
182	260	26	2
229	262	26	2
229	264	26	2
231	264	26	1
232	265	26	1
234	265	26	2
237	266	26	2
234	267	26	1
235	267	26	1
241	267	26	2
233	268	26	2
236	268	26	1
241	268	26	2
228	269	26	4
236	269	26	1
227	270	26	1
234	270	26	2
236	270	26	1
238	270	26	1
235	271	26	1
236	271	26	3
240	271	26	2
215	272	26	1
217	272	26	1
232	272	26	2
231	273	26	1
236	273	26	1
239	273	26	2
248	273	26	1
249	273	26	1
231	274	26	2
235	275	26	3
236	275	26	2
237	275	26	2
239	275	26	1
245	275	26	1
248	275	26	1
207	276	26	2
215	276	26	1
232	276	26	2
234	276	26	1
238	276	26	2
239	276	26	2
244	276	26	2
250	276	26	2
207	277	26	1
209	277	26	1
210	277	26	1
234	277	26	2
235	277	26	2
236	277	26	4
237	277	26	1
236	278	26	1
237	278	26	1
240	278	26	1
243	278	26	1
251	278	26	4
234	279	26	2
239	279	26	1
248	279	26	1
249	279	26	1
250	279	26	4
230	280	26	2
238	280	26	2
240	280	26	1
241	280	26	1
248	280	26	1
250	280	26	1
231	281	26	1
232	281	26	2
234	281	26	1
235	281	26	1
237	281	26	2
239	281	26	1
248	281	26	1
249	281	26	2
250	281	26	1
209	282	26	1
215	282	26	2
233	282	26	2
235	282	26	1
237	282	26	2
240	282	26	1
245	282	26	1
250	282	26	2
251	282	26	2
254	282	26	1
209	283	26	2
227	283	26	2
243	283	26	2
245	283	26	3
249	283	26	1
251	283	26	2
252	283	26	1
254	283	26	1
215	284	26	1
232	284	26	1
233	284	26	1
234	284	26	1
235	284	26	2
237	284	26	1
241	284	26	1
242	284	26	1
244	284	26	1
245	284	26	2
246	284	26	1
248	284	26	1
252	284	26	2
214	285	26	1
236	285	26	1
237	285	26	1
241	285	26	2
244	285	26	1
245	285	26	1
247	285	26	1
255	285	26	2
232	286	26	1
235	286	26	2
238	286	26	1
247	286	26	1
248	286	26	1
250	286	26	3
251	286	26	1
252	286	26	1
254	286	26	1
224	287	26	1
232	287	26	2
234	287	26	1
237	287	26	1
238	287	26	1
239	287	26	1
243	287	26	2
247	287	26	1
248	287	26	2
250	287	26	1
253	287	26	1
235	288	26	1
241	288	26	1
250	288	26	1
252	288	26	1
222	289	26	2
