x	y	z	Interleukin-12 family signaling
244	284	21	3
239	272	24	2
240	277	24	1
246	284	24	1
248	286	24	1
251	287	24	1
244	288	24	4
245	288	24	1
249	288	24	1
248	289	24	2
249	289	24	2
232	265	25	1
231	268	25	1
233	269	25	1
235	270	25	3
234	271	25	1
233	272	25	1
239	272	25	2
236	273	25	1
238	273	25	5
233	274	25	1
234	274	25	2
235	274	25	1
238	274	25	1
235	275	25	1
237	275	25	1
232.5	276.5	25.5	1
233	276	25	1
235	276	25	1
237	276	25	1
239	276	25	3
248	276	25	1
231	277	25	1
232	277	25	2
247	277	25	1
231	278	25	1
232	278	25	2
236	278	25	2
238	278	25	1
239	278	25	1
232	279	25	2
235	279	25	1
236	279	25	1
237	279	25	2
238	279	25	1
240	279	25	1
247	279	25	2
233	280	25	1
234	280	25	1
236	280	25	2
239	280	25	3
241	280	25	1
245	280	25	1
231	281	25	2
237	281	25	2
249	281	25	1
214	282	25	2
234	282	25	1
235	282	25	2
240	282	25	1
245	282	25	2
247	282	25	1
232	283	25	1
233	283	25	1
234	283	25	1
235	283	25	2
237	283	25	1
238	283	25	1
243	283	25	1
245	283	25	3
247	283	25	1
249	283	25	1
233	284	25	1
235	284	25	1
237	284	25	1
242	284	25	1
244	284	25	2
249	284	25	2
235	285	25	1
239	285	25	1
240	285	25	2
241	285	25	1
243	285	25	2
244	285	25	2
246	285	25	1
248	285	25	2
250	285	25	1
218	286	25	1
233	286	25	1
234	286	25	1
235	286	25	3
236	286	25	1
240	286	25	1
241	286	25	1
242	286	25	1
243	286	25	1
252	286	25	2
223	287	25	1
238	287	25	1
242	287	25	1
245	287	25	1
224	288	25	1
250	288	25	1
251	288	25	1
234	289	25	1
235	289	25	1
238	289	25	2
242	289	25	2
244	289	25	2
250	289	25	1
235	290	25	1
237	290	25	2
238	290	25	1
244	290	25	2
249	290	25	1
226	291	25	2
235	291	25	1
236	291	25	2
238	291	25	2
240	291	25	2
242	291	25	1
246	291	25	1
251	291	25	1
237	292	25	2
238	292	25	1
243	292	25	4
244	292	25	2
250	292	25	1
239	293	25	2
240	293	25	3
243	293	25	1
244	293	25	1
246	293	25	2
241	294	25	1
243	294	25	1
246	294	25	1
247	294	25	3
241	295	25	1
243	295	25	1
238	296	25	1
239	296	25	1
242	296	25	1
247	296	25	2
239	297	25	2
243	297	25	1
241	299	25	1
243	299	25	1
227	300	25	1
239	300	25	1
239	302	25	3
176	259	26	1
182	259	26	3
232	263	26	1
229	264	26	1
230	264	26	1
231	264	26	1
215	265	26	2
232	265	26	2
234	267	26	1
241	267	26	1
235	268	26	4
228	269	26	1
236	269	26	1
228	270	26	1
234	270	26	1
236	270	26	2
250	270	26	1
229	271	26	1
235	271	26	2
217	272	26	1
230	272	26	1
232	272	26	1
236	272	26	1
239	272	26	1
231	273	26	1
231	274	26	1
236	274	26	1
238	274	26	2
232	275	26	1
233	275	26	2
245	275	26	1
248	275	26	1
249	275	26	2
207	276	26	1
215	276	26	1
231	276	26	1
232	276	26	1
238	276	26	3
244	276	26	2
248	276	26	1
250	276	26	1
207	277	26	2
209	277	26	1
210	277	26	1
230	277	26	1
231	277	26	1
232	277	26	1
236	277	26	1
237	277	26	1
240	277	26	1
249	277	26	3
250	277	26	1
233	278	26	1
234	278	26	1
235	278	26	1
236	278	26	2
237	278	26	1
239	278	26	2
251	278	26	2
252	278	26	3
207	279	26	1
231	279	26	1
234	279	26	2
236	279	26	1
237	279	26	1
246	279	26	1
250	279	26	2
232	280	26	1
234	280	26	1
236	280	26	1
238	280	26	2
240	280	26	1
242	280	26	1
248	280	26	1
249	280	26	1
250	280	26	2
217	281	26	1
231	281	26	1
236	281	26	1
237	281	26	1
239	281	26	2
250	281	26	1
208	282	26	2
