x	y	z	Toll Like Receptor 3 (TLR3) Cascade
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	1
246	292	21	1
239	272	24	1
237	278	24	1
244	286	24	3
248	286	24	1
239	287	24	1
245	287	24	1
251	287	24	1
243	288	24	1
244	288	24	1
247	289	24	2
249	289	24	2
244	290	24	1
244	291	24	1
232	265	25	3
235	270	25	1
227	272	25	3
228	272	25	1
230	272	25	2
233	272	25	1
238	272	25	1
239	272	25	3
227	273	25	1
235	273	25	2
236	273	25	2
230	274	25	1
232	274	25	1
233	274	25	1
234	274	25	1
238	274	25	1
237	275	25	2
238	275	25	1
233	276	25	1
236	276	25	4
239	276	25	2
240	276	25	1
232	277	25	2
233	277	25	3
234	277	25	1
235	277	25	2
236	277	25	1
237	277	25	2
231	278	25	1
232	278	25	2
236	278	25	1
239	278	25	1
232	279	25	1
236	279	25	3
238	279	25	1
239	279	25	1
240	279	25	2
247	279	25	1
249	279	25	2
233	280	25	1
234	280	25	1
236	280	25	1
239	280	25	1
241	280	25	1
245	280	25	2
248	280	25	1
231	281	25	1
234	281	25	1
241	281	25	2
243	281	25	2
245	281	25	1
249	281	25	1
214	282	25	1
234	282	25	1
235	282	25	3
240	282	25	2
245	282	25	1
248	282	25	1
249	282	25	2
230	283	25	1
231	283	25	1
232	283	25	2
233	283	25	2
234	283	25	2
235	283	25	3
238	283	25	2
239	283	25	2
240	283	25	1
245	283	25	1
246	283	25	2
247	283	25	1
249	283	25	1
213	284	25	2
236	284	25	1
237	284	25	1
241	284	25	1
243	284	25	1
244	284	25	1
250	284	25	1
252	284	25	1
234	285	25	1
235	285	25	1
237	285	25	1
238	285	25	2
239	285	25	3
243	285	25	1
250	285	25	2
252	285	25	1
234	286	25	1
235	286	25	1
240	286	25	1
245	286	25	2
250	286	25	1
252	286	25	1
223	287	25	1
238	287	25	1
242	287	25	2
245	287	25	2
249	287	25	2
235	288	25	1
239	288	25	1
242	288	25	1
250	288	25	1
251	288	25	1
226	289	25	1
235	289	25	3
236	289	25	1
237	289	25	1
238	289	25	2
241	289	25	1
250	289	25	2
252	289	25	1
225	290	25	1
235	290	25	1
237	290	25	2
238	290	25	1
244	290	25	1
246	290	25	3
226	291	25	1
235	291	25	1
236	291	25	2
237	291	25	1
238	291	25	2
239	291	25	1
242	291	25	1
246	291	25	2
250	291	25	1
227	292	25	1
235	292	25	1
237	292	25	1
238	292	25	2
243	292	25	2
250	292	25	1
239	293	25	1
240	293	25	2
243	293	25	1
246	293	25	2
239	294	25	1
240	294	25	1
241	294	25	1
242	294	25	1
243	294	25	1
234	295	25	1
237	295	25	1
240	295	25	2
243	295	25	2
238	296	25	2
246	296	25	2
247	296	25	1
239	297	25	1
241	299	25	1
176	259	26	2
