x	y	z	Interferon alpha/beta signaling
216.157603775171	275.673637444315	34.5586340221659	1
246	292	21	1
240	277	24	1
244	286	24	1
239	287	24	1
249	288	24	1
244	289	24	1
249	289	24	2
244	290	24	1
244	291	24	1
231	264	25	1
232	265	25	1
231	268	25	1
236	268	25	1
233	269	25	1
238	270	25	1
228	272	25	1
230	272	25	2
227	273	25	2
238	273	25	1
231	274	25	2
235	274	25	1
238	274	25	1
236	275	25	1
232.5	276.5	25.5	1
234	276	25	1
236	276	25	2
237	276	25	1
240	276	25	1
231	277	25	1
235	277	25	1
236	277	25	1
237	277	25	3
247	277	25	3
231	278	25	2
233	278	25	1
234	278	25	1
237	278	25	1
239	278	25	2
235	279	25	2
239	279	25	1
240	279	25	1
247	279	25	1
233	280	25	1
236	280	25	2
241	280	25	4
245	280	25	2
240	281	25	1
241	281	25	1
245	281	25	1
238	282	25	1
239	282	25	1
240	282	25	2
245	282	25	1
230	283	25	2
231	283	25	1
235	283	25	1
236	283	25	2
238	283	25	1
239	283	25	1
243	283	25	1
245	283	25	2
249	283	25	1
234	284	25	1
237	284	25	1
241	284	25	1
242	284	25	1
244	284	25	2
245	284	25	1
249	284	25	1
252	284	25	1
238	285	25	1
240	285	25	1
243	285	25	1
244	285	25	1
248	285	25	1
218	286	25	1
232	286	25	1
240	286	25	1
243	286	25	1
254	286	25	1
223	287	25	2
237	287	25	1
245	287	25	1
246	287	25	2
249	287	25	2
224	288	25	2
236	288	25	1
237	288	25	1
234	289	25	1
242	289	25	1
248.5	289.5	25.5	1
234	290	25	1
235	290	25	1
237	290	25	2
240	290	25	2
243	290	25	1
249	290	25	1
250	290	25	1
235	291	25	1
237	291	25	3
240	291	25	2
242	291	25	1
245	291	25	1
246	291	25	1
244	292	25	1
239	293	25	1
244	293	25	1
240	294	25	1
241	294	25	2
243	294	25	1
244	294	25	1
247	294	25	1
234	295	25	3
237	295	25	4
240	295	25	1
243	295	25	1
238	296	25	2
239	296	25	1
242	296	25	1
247	296	25	1
243	297	25	2
240	298	25	2
241	299	25	2
238	300	25	1
240	300	25	1
239	302	25	1
183	258	26	2
176	259	26	2
182	259	26	1
182	260	26	1
229	262	26	1
229	264	26	1
230	264	26	2
231	264	26	2
232	265	26	1
234	267	26	2
241	268	26	1
228	269	26	1
229	269	26	1
236	269	26	1
237	269	26	1
227	270	26	1
234	270	26	2
235	270	26	1
236	270	26	1
237	270	26	1
238	270	26	1
250	270	26	1
235	271	26	1
240	271	26	2
217	272	26	1
226	272	26	2
232	272	26	1
236	273	26	4
239	273	26	1
249	273	26	2
231	274	26	1
233	274	26	1
236	274	26	1
238	274	26	1
232	275	26	1
233	275	26	1
235	275	26	1
237	275	26	1
239	275	26	1
246	275	26	2
250	275	26	1
239	276	26	2
244	276	26	1
209	277	26	1
213	277	26	4
230	277	26	1
232	277	26	3
234	277	26	2
235	277	26	1
236	277	26	1
239	277	26	2
249	277	26	1
250	277	26	1
236	278	26	1
237	278	26	2
239	278	26	1
243	278	26	2
251	278	26	2
252	278	26	1
207	279	26	2
231	279	26	1
232	279	26	1
236	279	26	1
239	279	26	2
241	279	26	2
246	279	26	1
248	279	26	1
250	279	26	1
234	280	26	1
236	280	26	4
238	280	26	1
242	280	26	1
247	280	26	1
249	280	26	2
250	280	26	2
232	281	26	1
235	281	26	1
236	281	26	1
237	281	26	2
244	281	26	1
246	281	26	2
248	281	26	1
249	281	26	1
250	281	26	1
208	282	26	1
215	282	26	1
229	282	26	1
231	282	26	2
233	282	26	1
238	282	26	1
240	282	26	1
242	282	26	1
246	282	26	2
247	282	26	2
250	282	26	1
251	282	26	1
254	282	26	1
209	283	26	2
227	283	26	2
233	283	26	1
239	283	26	2
243	283	26	1
245	283	26	1
248	283	26	1
251	283	26	1
252	283	26	2
253	283	26	1
212	284	26	2
214	284	26	1
215	284	26	2
234	284	26	1
235	284	26	1
237	284	26	1
238	284	26	2
241	284	26	1
242	284	26	1
243	284	26	2
244	284	26	1
248	284	26	1
211	285	26	1
212	285	26	1
214	285	26	7
234	285	26	1
235	285	26	1
236	285	26	1
237	285	26	3
244	285	26	1
250	285	26	3
253	285	26	1
254	285	26	2
255	285	26	1
225	286	26	2
233	286	26	1
234	286	26	2
238	286	26	1
241	286	26	1
242	286	26	3
248	286	26	1
249	286	26	1
251	286	26	1
253	286	26	1
223	287	26	1
224	287	26	1
228	287	26	1
232	287	26	1
234	287	26	1
236	287	26	1
237	287	26	2
239	287	26	2
243	287	26	1
247	287	26	1
248	287	26	1
249	287	26	1
251	287	26	2
240	288	26	1
249	288	26	1
222	289	26	1
223	289	26	1
227	289	26	1
231	289	26	1
232	289	26	1
233	289	26	1
234	289	26	1
237	289	26	3
238	289	26	1
250	289	26	2
228	290	26	1
233	290	26	2
239	290	26	2
243	290	26	2
222	291	26	1
226	291	26	1
229	291	26	1
232	291	26	1
235	291	26	1
240	291	26	1
242	291	26	1
244	291	26	1
245	291	26	1
249	291	26	1
250	291	26	2
226	292	26	2
237	292	26	2
239	292	26	1
240	292	26	1
245	292	26	1
247	292	26	1
249	292	26	2
251	292	26	1
254	292	26	1
234	293	26	3
237	293	26	2
238	293	26	1
239	293	26	1
240	293	26	1
244	293	26	1
245	293	26	1
253	293	26	1
237	294	26	2
242	294	26	1
243	294	26	1
244	294	26	3
249	294	26	1
234	295	26	1
237	295	26	1
239	295	26	1
240	295	26	1
241	295	26	2
242	295	26	2
244	295	26	1
254	295	26	2
240	296	26	1
241	296	26	3
242	296	26	2
245	297	26	1
240	298	26	2
242	298	26	3
246	298	26	1
236	299	26	2
239	299	26	2
240	299	26	2
243	299	26	1
236	300	26	1
227	301	26	2
183	257	27	2
186	257	27	1
181	258	27	1
232	258	27	1
180	259	27	2
184	259	27	1
185	259	27	1
188	259	27	1
228	259	27	1
229	259	27	1
232	259	27	1
176	260	27	2
181	260	27	1
183	260	27	1
184	260	27	1
186	260	27	2
227	260	27	1
228	260	27	1
237	260	27	1
240	260	27	2
177	261	27	1
181	261	27	2
183	261	27	3
228	261	27	2
232	261	27	2
234	261	27	2
239	261	27	1
177	262	27	1
182	262	27	1
186	262	27	1
227	262	27	2
229	262	27	2
233	262	27	1
236	262	27	2
238	262	27	1
178	263	27	3
179	263	27	3
181	263	27	1
184	263	27	1
185	263	27	1
210	263	27	1
220	263	27	1
225	263	27	1
230	263	27	1
231	263	27	1
235	263	27	2
244	263	27	1
175	264	27	4
176	264	27	1
209	264	27	1
222	264	27	2
224	264	27	1
225	264	27	3
226	264	27	1
231	264	27	1
234	264	27	1
237	264	27	1
238	264	27	1
248	264	27	2
184	265	27	1
189	265	27	1
212	265	27	2
221	265	27	1
225	265	27	2
226	265	27	1
231	265	27	1
233	265	27	2
235	265	27	1
236	265	27	1
239	265	27	1
178	266	27	1
179	266	27	1
217	266	27	1
219	266	27	2
229	266	27	1
232	266	27	1
233	266	27	1
234	266	27	2
239	266	27	2
179	267	27	1
214	267	27	1
215	267	27	1
217	267	27	2
226	267	27	2
228	267	27	2
233	267	27	1
235	267	27	1
236	267	27	2
239	267	27	1
240	267	27	3
249	267	27	1
250	267	27	1
181	268	27	1
207	268	27	2
213	268	27	1
214	268	27	1
215	268	27	3
223	268	27	1
224	268	27	1
226	268	27	2
227	268	27	2
228	268	27	1
230	268	27	1
231	268	27	1
233	268	27	1
234	268	27	1
236	268	27	1
237	268	27	1
240	268	27	1
241	268	27	1
243	268	27	2
247	268	27	2
248	268	27	1
177	269	27	1
178	269	27	1
179	269	27	2
182	269	27	1
201	269	27	2
211	269	27	1
213	269	27	1
214	269	27	1
218	269	27	1
224	269	27	1
225	269	27	1
233	269	27	1
238	269	27	1
240	269	27	1
243	269	27	1
178	270	27	1
181	270	27	1
192	270	27	2
197	270	27	2
215	270	27	2
216	270	27	2
221	270	27	1
227	270	27	1
231	270	27	1
233	270	27	2
236	270	27	1
237	270	27	1
240	270	27	1
242	270	27	1
248	270	27	1
178	271	27	1
181	271	27	1
182	271	27	2
206	271	27	2
207	271	27	1
208	271	27	2
209	271	27	1
217	271	27	1
222	271	27	1
223	271	27	1
233	271	27	1
237	271	27	2
243	271	27	2
247	271	27	1
251	271	27	2
176	272	27	1
179	272	27	3
206	272	27	3
207	272	27	2
208	272	27	2
215	272	27	1
216	272	27	1
217	272	27	2
227	272	27	1
228	272	27	1
234	272	27	2
236	272	27	1
237	272	27	2
238	272	27	1
240	272	27	1
247	272	27	1
249	272	27	2
250	272	27	2
251	272	27	1
207	273	27	1
210	273	27	1
211	273	27	1
214	273	27	2
217	273	27	1
220	273	27	2
223	273	27	2
224	273	27	2
229	273	27	2
235	273	27	1
237	273	27	1
238	273	27	2
239	273	27	1
241	273	27	1
246	273	27	1
249	273	27	1
251	273	27	2
253	273	27	1
177	274	27	1
179	274	27	1
203	274	27	1
204	274	27	1
206	274	27	1
207	274	27	1
208	274	27	3
209	274	27	2
214	274	27	1
227	274	27	1
228	274	27	1
229	274	27	1
233	274	27	2
237	274	27	1
238	274	27	2
240	274	27	1
243	274	27	2
247	274	27	1
250	274	27	1
252	274	27	1
254	274	27	2
182	275	27	3
184	275	27	1
185	275	27	2
208	275	27	1
213	275	27	1
214	275	27	1
216	275	27	1
217	275	27	1
218	275	27	1
220	275	27	1
223	275	27	1
230	275	27	1
232	275	27	2
237	275	27	2
238	275	27	1
240	275	27	1
242	275	27	1
246	275	27	1
249	275	27	1
252	275	27	1
254	275	27	2
204	276	27	1
207	276	27	1
210	276	27	1
212	276	27	2
213	276	27	1
214	276	27	1
215	276	27	3
220	276	27	1
233	276	27	1
234	276	27	1
238	276	27	2
244	276	27	2
245	276	27	2
246	276	27	1
247	276	27	1
250	276	27	2
252	276	27	1
205	277	27	1
208	277	27	1
210	277	27	1
211	277	27	3
215	277	27	1
218	277	27	2
219	277	27	1
233	277	27	2
237	277	27	1
238	277	27	1
239	277	27	1
240	277	27	1
243	277	27	1
244	277	27	1
249	277	27	2
250	277	27	1
203	278	27	1
204	278	27	2
209	278	27	1
211	278	27	1
214	278	27	2
219	278	27	1
220	278	27	1
224	278	27	2
232	278	27	2
233	278	27	1
234	278	27	1
235	278	27	1
238	278	27	1
244	278	27	1
245	278	27	2
248	278	27	3
249	278	27	1
250	278	27	1
251	278	27	1
207	279	27	2
219	279	27	2
220	279	27	1
232	279	27	1
235	279	27	3
236	279	27	1
244	279	27	1
245	279	27	2
246	279	27	1
247	279	27	1
250	279	27	3
251	279	27	4
257	279	27	1
204	280	27	2
205	280	27	1
206	280	27	1
207	280	27	1
209	280	27	2
233	280	27	1
234	280	27	2
235	280	27	2
236	280	27	1
238	280	27	1
240	280	27	1
241	280	27	1
242	280	27	1
243	280	27	2
245	280	27	1
246	280	27	1
247	280	27	1
248	280	27	3
249	280	27	1
252	280	27	1
210	281	27	1
214	281	27	1
215	281	27	1
218	281	27	1
222	281	27	1
235	281	27	1
245	281	27	1
248	281	27	1
251	281	27	2
252	281	27	1
257	281	27	1
205	282	27	1
206	282	27	1
214	282	27	1
217	282	27	1
229	282	27	1
233	282	27	2
236	282	27	1
237	282	27	1
240	282	27	1
241	282	27	1
246	282	27	2
248	282	27	2
252	282	27	1
201	283	27	1
206	283	27	1
207	283	27	2
209	283	27	2
216	283	27	1
221	283	27	1
231	283	27	1
234	283	27	1
240	283	27	2
241	283	27	1
242	283	27	1
244	283	27	1
248	283	27	1
249	283	27	1
251	283	27	2
254	283	27	1
205	284	27	1
209	284	27	1
210	284	27	1
213	284	27	1
214	284	27	1
215	284	27	2
236	284	27	2
240	284	27	1
241	284	27	1
249	284	27	2
250	284	27	1
251	284	27	1
253	284	27	1
254	284	27	1
255	284	27	2
256	284	27	3
204	285	27	1
208	285	27	3
209	285	27	1
211	285	27	1
213	285	27	1
219	285	27	2
224	285	27	1
228	285	27	2
234	285	27	1
238	285	27	2
239	285	27	1
240	285	27	2
241	285	27	6
247	285	27	1
254	285	27	1
256	285	27	2
206	286	27	1
207	286	27	2
208	286	27	1
209	286	27	1
212	286	27	1
214	286	27	1
216	286	27	1
218	286	27	1
222	286	27	1
224	286	27	2
226	286	27	1
232	286	27	2
235	286	27	1
236	286	27	1
237	286	27	1
239	286	27	1
244	286	27	2
246	286	27	3
247	286	27	1
248	286	27	4
249	286	27	1
254	286	27	2
255	286	27	1
207	287	27	1
221	287	27	1
222	287	27	1
223	287	27	1
227	287	27	1
228	287	27	3
233	287	27	1
234	287	27	1
238	287	27	1
239	287	27	1
241	287	27	2
243	287	27	1
246	287	27	1
251	287	27	2
252	287	27	1
255	287	27	1
256	287	27	1
207	288	27	1
214	288	27	3
223	288	27	1
224	288	27	2
228	288	27	2
232	288	27	1
233	288	27	3
237	288	27	3
238	288	27	2
240	288	27	2
242	288	27	3
244	288	27	3
245	288	27	1
249	288	27	2
251	288	27	1
253	288	27	1
255	288	27	1
203	289	27	1
219	289	27	1
222	289	27	1
223	289	27	1
224	289	27	1
225	289	27	1
227	289	27	1
228	289	27	1
230	289	27	2
232	289	27	1
233	289	27	3
234	289	27	3
235	289	27	2
236	289	27	2
238	289	27	1
241	289	27	1
242	289	27	1
248	289	27	1
251	289	27	4
219	290	27	1
225	290	27	1
226	290	27	1
227	290	27	2
228	290	27	1
230	290	27	1
232	290	27	2
235	290	27	1
236	290	27	1
239	290	27	2
241	290	27	1
247	290	27	1
250	290	27	2
251	290	27	2
210	291	27	1
213	291	27	1
221	291	27	1
222	291	27	1
228	291	27	1
233	291	27	1
234	291	27	5
236	291	27	1
237	291	27	1
238	291	27	2
239	291	27	1
241	291	27	2
248	291	27	2
249	291	27	2
250	291	27	2
251	291	27	1
252	291	27	1
212	292	27	1
221	292	27	1
223	292	27	2
225	292	27	1
226	292	27	2
227	292	27	1
229	292	27	1
234	292	27	2
235	292	27	1
241	292	27	1
246	292	27	1
248	292	27	1
249	292	27	3
250	292	27	1
251	292	27	2
253	292	27	1
211	293	27	2
220	293	27	1
221	293	27	2
224	293	27	1
225	293	27	1
226	293	27	4
229	293	27	1
239	293	27	1
245	293	27	2
247	293	27	1
248	293	27	1
249	293	27	1
250	293	27	1
251	293	27	1
253	293	27	1
256	293	27	1
217	294	27	4
220	294	27	1
224	294	27	2
225	294	27	1
231	294	27	3
236	294	27	1
237	294	27	1
245	294	27	1
246	294	27	1
248	294	27	3
250	294	27	2
218	295	27	2
219	295	27	2
220	295	27	1
221	295	27	1
223	295	27	1
239	295	27	2
244	295	27	1
247	295	27	1
250	295	27	1
252	295	27	1
255	295	27	1
221	296	27	2
236	296	27	2
239	296	27	2
240	296	27	2
241	296	27	1
252	296	27	1
255	296	27	1
217	297	27	1
220	297	27	1
237	297	27	1
238	297	27	1
239	297	27	2
240	297	27	2
243	297	27	1
245	297	27	1
248	297	27	1
252	297	27	3
253	297	27	2
226	298	27	1
235	298	27	1
236	298	27	2
239	298	27	1
248	298	27	1
215	299	27	1
226	299	27	2
236	299	27	2
240	299	27	1
241	299	27	1
242	299	27	1
243	299	27	1
245	299	27	1
248	299	27	1
228	300	27	1
236	300	27	1
240	300	27	1
247	300	27	1
