x	y	z	Interferon alpha/beta signaling
246	292	21	2
240	277	24	1
232	278	24	1
239	278	24	1
245	284	24	1
244	286	24	1
244	287	24	1
245	287	24	2
246	287	24	1
243	288	24	1
249	288	24	1
247	289	24	1
248	289	24	1
249	289	24	1
244	290	24	4
231	264	25	1
227	272	25	1
230	272	25	1
233	272	25	2
239	272	25	1
227	273	25	1
235	273	25	5
236	273	25	1
233	274	25	1
238	275	25	2
233	276	25	1
234	276	25	1
231	277	25	1
235	277	25	1
236	277	25	1
247	277	25	1
233	278	25	1
236	278	25	1
237	278	25	1
238	278	25	1
232	279	25	2
233	279	25	1
235	279	25	1
239	279	25	2
249	279	25	1
232	280	25	1
233	280	25	2
234	280	25	1
248	280	25	1
235	281	25	1
237	281	25	2
241	281	25	1
248	281	25	1
249	281	25	1
214	282	25	1
232	282	25	1
237	282	25	1
238	282	25	1
240	282	25	2
248	282	25	2
230	283	25	1
235	283	25	1
238	283	25	2
240	283	25	1
241	283	25	2
246	283	25	1
247	283	25	1
213	284	25	1
235	284	25	1
237	284	25	1
241	284	25	1
242	284	25	1
243	284	25	1
245	284	25	1
247	284	25	2
250	284	25	1
232	285	25	3
234	285	25	1
239	285	25	1
240	285	25	1
233	286	25	1
250	286	25	1
252	286	25	2
245	287	25	1
246	287	25	1
249	287	25	1
236	288	25	1
239	288	25	4
242	288	25	1
250	288	25	1
234	289	25	2
235	289	25	1
237	289	25	2
238	289	25	1
242	289	25	1
244	289	25	2
250	289	25	1
252	289	25	2
225	290	25	1
235	290	25	1
236	290	25	1
237	290	25	1
240	290	25	1
243	290	25	1
239	291	25	3
242	291	25	2
251	291	25	3
227	292	25	1
237	292	25	3
238	292	25	1
239	292	25	1
243	293	25	2
247	293	25	1
239	294	25	1
240	294	25	2
242	294	25	1
246	294	25	1
241	295	25	1
243	295	25	2
238	296	25	1
242	296	25	1
239	297	25	1
243	297	25	2
243	299	25	1
227	300	25	2
238	300	25	1
182	259	26	1
229	262	26	2
232	263	26	1
215	265	26	2
234	265	26	2
237	266	26	1
234	267	26	1
235	267	26	1
233	268	26	3
241	268	26	2
229	269	26	1
236	269	26	1
237	269	26	1
233	270	26	1
234	270	26	1
250	270	26	2
240	271	26	1
223	272	26	2
224	272	26	1
234	272	26	1
231	273	26	2
236	273	26	1
237	273	26	1
239	273	26	2
248	273	26	1
233	274	26	1
233	275	26	1
235	275	26	2
239	275	26	1
249	275	26	1
250	275	26	1
215	276	26	1
237	276	26	3
244	276	26	1
248	276	26	1
207	277	26	1
209	277	26	2
231	277	26	2
237	277	26	2
240	277	26	1
250	277	26	1
234	278	26	4
249	278	26	1
207	279	26	1
231	279	26	2
233	279	26	2
241	279	26	1
249	279	26	1
250	279	26	2
208	280	26	1
233	280	26	1
238	280	26	2
217	281	26	1
236	281	26	1
239	281	26	1
249	281	26	1
250	281	26	1
209	282	26	1
215	282	26	3
237	282	26	1
240	282	26	1
242	282	26	2
245	282	26	1
247	282	26	2
249	282	26	2
250	282	26	1
231	283	26	2
234	283	26	1
238	283	26	1
241	283	26	2
243	283	26	1
245	283	26	1
248	283	26	1
249	283	26	1
253	283	26	3
254	283	26	1
212	284	26	2
214	284	26	1
232	284	26	1
235	284	26	1
241	284	26	2
242	284	26	2
244	284	26	2
245	284	26	2
246	284	26	1
250	284	26	1
212	285	26	1
234	285	26	1
235	285	26	1
247	285	26	2
253	285	26	2
254	285	26	1
225	286	26	1
232	286	26	1
237	286	26	1
238	286	26	1
240	286	26	2
242	286	26	1
247	286	26	1
248	286	26	1
251	286	26	2
252	286	26	1
253	286	26	2
254	286	26	1
228	287	26	1
232	287	26	1
238	287	26	2
239	287	26	1
247	287	26	1
250	287	26	1
251	287	26	2
253	287	26	1
232	288	26	1
240	288	26	1
243	288	26	1
248	288	26	1
227	289	26	1
231	289	26	1
233	289	26	1
235	289	26	1
237	289	26	2
242	289	26	1
248	289	26	1
251	289	26	1
252	289	26	2
227	290	26	1
228	290	26	1
239	290	26	2
240	290	26	1
243	290	26	2
229	291	26	1
235	291	26	1
240	291	26	1
242	291	26	1
246	291	26	1
227	292	26	1
237	292	26	1
239	292	26	1
240	292	26	1
244	292	26	1
247	292	26	1
249	292	26	1
251	292	26	1
254	292	26	1
234	293	26	1
245	293	26	1
246	293	26	1
237	294	26	1
239	294	26	1
240	294	26	1
244	294	26	1
221	295	26	1
234	295	26	2
237	295	26	1
239	295	26	1
241	295	26	1
242	295	26	1
248	295	26	1
254	295	26	2
239	296	26	1
240	296	26	1
241	296	26	1
239	297	26	2
240	297	26	1
242	297	26	1
245	297	26	1
246	297	26	2
239	298	26	1
240	298	26	1
236	299	26	1
241	299	26	2
243	299	26	1
227	300	26	1
241	300	26	1
184	256	27	1
183	257	27	1
183	258	27	1
215	258	27	1
183	259	27	1
184	259	27	1
185	259	27	1
226	259	27	1
229	259	27	1
232	259	27	1
181	260	27	1
183	260	27	1
186	260	27	1
227	260	27	2
234	260	27	1
181	261	27	1
187	261	27	1
222	261	27	1
227	261	27	1
228	261	27	1
229	261	27	1
230	261	27	1
232	261	27	1
235	261	27	1
236	261	27	1
239	261	27	1
227	262	27	1
236	262	27	2
238	262	27	1
239	262	27	1
175	263	27	1
178	263	27	1
181	263	27	1
182	263	27	1
183	263	27	1
227	263	27	1
230	263	27	1
231	263	27	2
232	263	27	1
235	263	27	1
244	263	27	1
186	264	27	1
209	264	27	1
219	264	27	1
225	264	27	1
238	264	27	1
248	264	27	1
189	265	27	1
226	265	27	1
232	265	27	1
233	265	27	1
237	265	27	1
239	265	27	1
178	266	27	2
217	266	27	2
221	266	27	1
224	266	27	1
226	266	27	1
231	266	27	1
232	266	27	1
235	266	27	2
237	266	27	1
