x	y	z	Fc epsilon receptor (FCERI) signaling
240	286	21	2
246	292	21	1
239	272	24	2
232	278	24	2
235	278	24	1
239	278	24	1
245	284	24	1
246	284	24	1
248	286	24	2
245	287	24	2
251	287	24	1
243	288	24	2
244	288	24	2
245	288	24	2
248	289	24	1
249	289	24	1
244	290	24	1
244	291	24	2
232	265	25	1
231	268	25	3
236	268	25	2
233	269	25	2
227	272	25	1
228	272	25	1
230	272	25	1
238	272	25	1
227	273	25	1
236	273	25	1
238	273	25	1
230	274	25	1
232	274	25	1
235	275	25	1
236	275	25	1
233	276	25	1
234	276	25	1
236	276	25	1
237	276	25	1
239	276	25	1
240	276	25	1
248	276	25	2
233	277	25	1
235	277	25	2
236	277	25	1
237	277	25	2
247	277	25	2
231	278	25	2
232	278	25	2
233	278	25	1
234	278	25	1
236	278	25	1
238	278	25	2
239	278	25	1
231	279	25	1
232	279	25	1
235	279	25	2
236	279	25	2
238	279	25	1
241	279	25	1
249	279	25	1
233	280	25	1
236	280	25	2
248	280	25	1
234	281	25	1
235	281	25	1
237	281	25	1
240	281	25	3
241	281	25	1
243	281	25	1
248	281	25	1
249	281	25	1
214	282	25	4
237	282	25	1
239	282	25	1
240	282	25	1
249	282	25	2
230	283	25	2
233	283	25	1
234	283	25	1
238	283	25	3
239	283	25	3
240	283	25	3
243	283	25	2
245	283	25	2
247	283	25	1
249	283	25	1
236	284	25	2
237	284	25	2
242	284	25	1
245	284	25	1
250	284	25	1
234	285	25	1
237	285	25	1
240	285	25	3
241	285	25	2
243	285	25	4
244	285	25	1
248	285	25	3
250	285	25	1
253	285	25	1
218	286	25	1
233	286	25	1
235	286	25	1
242	286	25	1
243	286	25	3
250	286	25	1
237	287	25	1
238	287	25	4
251	287	25	1
224	288	25	1
235	288	25	3
236	288	25	1
251	288	25	1
234	289	25	1
235	289	25	2
238	289	25	1
241	289	25	3
242	289	25	1
244	289	25	1
235	290	25	1
236	290	25	1
237	290	25	2
238	290	25	2
240	290	25	1
243	290	25	1
246	290	25	1
250	290	25	2
234	291	25	4
235	291	25	1
236	291	25	2
237	291	25	3
242	291	25	1
245	291	25	1
246	291	25	1
251	291	25	1
227	292	25	1
235	292	25	2
237	292	25	1
238	292	25	1
243	292	25	2
244	292	25	1
249	292	25	2
250	292	25	1
239	293	25	1
240	293	25	1
243	293	25	1
246	293	25	2
239	294	25	2
240	294	25	1
242	294	25	3
237	295	25	1
240	295	25	1
241	295	25	2
246	296	25	1
239	297	25	1
243	297	25	1
241	299	25	1
243	299	25	1
238	300	25	2
240	300	25	1
239	302	25	2
183	258	26	1
182	260	26	1
229	262	26	2
232	263	26	1
230	264	26	1
231	264	26	2
215	265	26	1
234	265	26	1
237	266	26	2
236	268	26	1
241	268	26	1
228	269	26	2
236	269	26	1
235	270	26	1
250	270	26	2
235	271	26	1
236	271	26	1
240	271	26	1
226	272	26	2
230	272	26	1
232	272	26	1
234	272	26	1
231	273	26	1
236	273	26	1
237	273	26	1
239	273	26	1
231	274	26	1
233	274	26	1
236	274	26	1
238	274	26	1
232	275	26	1
235	275	26	1
239	275	26	3
249	275	26	1
215	276	26	1
231	276	26	1
210	277	26	1
213	277	26	1
231	277	26	1
232	277	26	2
235	277	26	1
236	277	26	1
249	277	26	1
231	278	26	2
233	278	26	1
236	278	26	2
243	278	26	1
249	278	26	1
251	278	26	1
252	278	26	1
207	279	26	2
231	279	26	3
232	279	26	1
233	279	26	1
236	279	26	1
237	279	26	1
239	279	26	1
248	279	26	2
249	279	26	1
250	279	26	2
208	280	26	1
236	280	26	1
240	280	26	1
241	280	26	1
242	280	26	2
248	280	26	1
217	281	26	1
230	281	26	1
231	281	26	2
232	281	26	1
234	281	26	1
236	281	26	1
240	281	26	1
244	281	26	2
249	281	26	2
250	281	26	1
208	282	26	2
209	282	26	3
212	282	26	1
229	282	26	2
231	282	26	2
237	282	26	2
238	282	26	1
242	282	26	1
249	282	26	2
233	283	26	2
234	283	26	1
238	283	26	1
239	283	26	1
243	283	26	1
249	283	26	1
251	283	26	1
253	283	26	1
212	284	26	2
232	284	26	1
236	284	26	2
238	284	26	1
242	284	26	2
243	284	26	1
244	284	26	1
245	284	26	1
246	284	26	1
248	284	26	1
250	284	26	1
252	284	26	2
211	285	26	1
236	285	26	1
237	285	26	2
240	285	26	1
244	285	26	1
246	285	26	2
250	285	26	1
252	285	26	1
254	285	26	1
255	285	26	1
216	286	26	1
225	286	26	1
232	286	26	1
233	286	26	1
234	286	26	1
237	286	26	1
242	286	26	2
243	286	26	1
247	286	26	1
248	286	26	1
252	286	26	1
253	286	26	1
228	287	26	2
232	287	26	1
236	287	26	1
243	287	26	1
247	287	26	1
250	287	26	1
252	287	26	1
253	287	26	1
236	288	26	1
241	288	26	3
248	288	26	1
250	288	26	1
252	288	26	1
222	289	26	1
223	289	26	1
227	289	26	3
232	289	26	2
233	289	26	2
235	289	26	1
236	289	26	1
238	289	26	1
242	289	26	1
243	289	26	1
248	289	26	1
252	289	26	1
225	290	26	1
227	290	26	1
228	290	26	1
