x	y	z	Mitochondrial translation termination
183.039773122643	289.659001437601	35.0807824929564	4
142	221	20	1
179	221	20	2
123	222	20	2
127	222	20	2
132	222	20	2
142	222	20	4
176	222	20	1
178	222	20	3
138	223	20	2
148	223	20	1
175	223	20	3
115	224	20	3
133	224	20	3
134	224	20	1
155	224	20	3
167	224	20	3
172	224	20	1
176	224	20	1
141	225	20	3
157	225	20	1
159	225	20	1
176	225	20	2
115	226	20	1
119	226	20	1
126	226	20	4
139	226	20	4
156	226	20	1
172	226	20	1
160	227	20	1
178	227	20	2
189	227	20	2
112	228	20	1
119	228	20	3
128	228	20	2
130	228	20	2
151	228	20	1
157	228	20	4
158	228	20	1
197	228	20	1
112	229	20	4
118	229	20	2
126	229	20	1
153	229	20	3
158	229	20	2
159	229	20	1
127	230	20	4
129	230	20	2
157	230	20	1
169	230	20	1
173	230	20	6
204	230	20	4
113	231	20	1
116	231	20	1
121	231	20	1
132	231	20	1
154	231	20	1
160	231	20	1
161	231	20	1
170	231	20	1
177	231	20	1
115	232	20	2
137	232	20	1
146	232	20	1
190	232	20	2
130	233	20	1
143	233	20	4
144	233	20	4
147	233	20	3
170	233	20	1
206	233	20	2
214	233	20	2
215	233	20	1
130	234	20	1
132	234	20	3
135	234	20	4
138	234	20	1
154	234	20	1
204	234	20	2
215	234	20	2
129	235	20	2
135	235	20	1
136	235	20	1
137	235	20	1
141	235	20	2
143	235	20	3
145	235	20	1
158	235	20	3
216	235	20	3
218	235	20	1
220	235	20	1
222	235	20	4
127	236	20	1
134	236	20	1
139	236	20	2
146	236	20	3
154	236	20	2
159	236	20	3
163	236	20	3
215	236	20	1
129	237	20	3
137	237	20	2
140	237	20	1
145	237	20	2
146	237	20	3
148	237	20	1
151	237	20	2
154	237	20	2
165	237	20	1
168	237	20	2
169	237	20	1
173	237	20	2
202	237	20	5
204	237	20	2
220	237	20	1
222	237	20	2
232	237	20	3
248	237	20	2
126	238	20	2
127	238	20	3
140	238	20	1
141	238	20	4
145	238	20	1
152	238	20	2
158	238	20	2
168	238	20	2
192	238	20	4
213	238	20	1
128	239	20	2
139	239	20	1
141	239	20	3
144	239	20	1
151	239	20	1
160	239	20	1
172	239	20	2
183	239	20	1
230	239	20	1
102	240	20	1
118	240	20	1
131	240	20	1
132	240	20	3
146	240	20	4
147	240	20	1
149	240	20	1
152	240	20	3
191	240	20	4
214	240	20	2
216	240	20	3
239	240	20	3
122	241	20	1
126	241	20	2
127	241	20	3
129	241	20	1
131	241	20	3
135	241	20	1
138	241	20	2
139	241	20	1
145	241	20	1
157	241	20	1
167	241	20	2
237	241	20	1
120	242	20	1
121	242	20	1
123	242	20	1
128	242	20	1
130	242	20	1
132	242	20	1
136	242	20	2
137	242	20	2
141	242	20	1
148	242	20	4
163	242	20	1
183	242	20	1
185	242	20	1
207	242	20	2
237	242	20	1
125	243	20	5
140	243	20	2
141	243	20	2
181	243	20	3
201	243	20	2
213	243	20	1
240	243	20	3
247	243	20	1
118	244	20	1
123	244	20	2
126	244	20	1
135	244	20	3
145	244	20	2
154	244	20	1
155	244	20	2
162	244	20	2
183	244	20	2
188	244	20	5
207	244	20	2
210	244	20	1
213	244	20	2
220	244	20	3
242	244	20	4
121	245	20	1
137	245	20	2
160	245	20	2
169	245	20	2
176	245	20	2
182	245	20	3
183	245	20	1
214	245	20	3
241	245	20	2
117	246	20	3
122	246	20	1
126	246	20	2
130	246	20	1
159	246	20	1
177	246	20	3
221	246	20	3
237	246	20	1
240	246	20	1
133	247	20	5
137	247	20	1
163	247	20	2
218	247	20	2
235	247	20	1
248	247	20	3
109	248	20	5
158	248	20	2
163	248	20	3
166	248	20	1
175	248	20	1
102	249	20	2
138	249	20	2
