x	y	z	Mitochondrial translation
183.039773122643	289.659001437601	35.0807824929564	1
142	221	20	2
179	221	20	3
123	222	20	1
127	222	20	3
142	222	20	1
178	222	20	1
138	223	20	3
148	223	20	2
175	223	20	1
115	224	20	4
133	224	20	2
176	224	20	1
135	225	20	1
176	225	20	1
156	226	20	1
172	226	20	2
178	227	20	1
130	228	20	2
132	228	20	2
151	228	20	1
155	228	20	1
196	228	20	1
112	229	20	1
118	229	20	1
126	229	20	3
153	229	20	1
159	229	20	1
127	230	20	3
129	230	20	2
169	230	20	3
173	230	20	1
186	230	20	2
190	230	20	1
113	231	20	1
116	231	20	3
121	231	20	2
132	231	20	1
177	231	20	2
199	231	20	1
115	232	20	1
135	232	20	1
190	232	20	1
197	232	20	1
136	233	20	3
143	233	20	1
206	233	20	1
214	233	20	1
215	233	20	1
132	234	20	1
135	234	20	3
138	234	20	1
213	234	20	2
215	234	20	1
126	235	20	1
129	235	20	1
135	235	20	1
136	235	20	1
143	235	20	1
145	235	20	1
151	235	20	1
158	235	20	1
218	235	20	3
220	235	20	1
127	236	20	2
134	236	20	1
139	236	20	1
154	236	20	1
215	236	20	1
135	237	20	2
137	237	20	1
145	237	20	4
146	237	20	2
147	237	20	1
148	237	20	1
151	237	20	2
154	237	20	2
165	237	20	1
168	237	20	1
232	237	20	2
248	237	20	1
127	238	20	1
141	238	20	1
143	238	20	1
145	238	20	1
152	238	20	1
158	238	20	1
213	238	20	1
141	239	20	1
142	239	20	2
144	239	20	2
160	239	20	2
165	239	20	2
172	239	20	2
215	239	20	2
102	240	20	1
146	240	20	3
149	240	20	2
152	240	20	1
216	240	20	1
231	240	20	2
239	240	20	2
108	241	20	1
111	241	20	2
126	241	20	2
127	241	20	1
129	241	20	1
131	241	20	1
138	241	20	1
141	241	20	2
145	241	20	2
157	241	20	1
121	242	20	1
130	242	20	1
137	242	20	1
148	242	20	2
150	242	20	1
185	242	20	2
207	242	20	1
214	242	20	1
237	242	20	2
124	243	20	1
