x	y	z	SUMOylation of chromatin organization proteins
244	284	21	1
237	278	24	1
245	284	24	2
239	287	24	1
244	287	24	1
251	287	24	2
243	288	24	1
244	288	24	1
249	288	24	1
244	289	24	1
247	289	24	1
244	290	24	1
244	291	24	1
231	264	25	3
235	270	25	1
227	272	25	1
230	272	25	4
233	272	25	2
235	273	25	2
236	273	25	1
238	273	25	1
230	274	25	2
234	274	25	3
235	274	25	3
238	274	25	1
236	275	25	2
232.5	276.5	25.5	1
234	276	25	1
235	276	25	1
236	276	25	1
232	277	25	2
235	277	25	1
236	277	25	1
233	278	25	1
234	278	25	1
233	279	25	1
234	279	25	3
236	279	25	1
237	279	25	1
238	279	25	4
239	279	25	1
240	279	25	1
247	279	25	1
249	279	25	1
232	280	25	1
234	280	25	1
236	280	25	2
239	280	25	1
245	280	25	1
231	281	25	1
234	281	25	2
235	281	25	1
232	282	25	2
233	282	25	1
237	282	25	1
238	282	25	1
239	282	25	1
240	282	25	1
247	282	25	2
249	282	25	1
230	283	25	1
233	283	25	1
235	283	25	2
237	283	25	1
239	283	25	1
243	283	25	1
246	283	25	1
247	283	25	1
249	283	25	2
213	284	25	1
234	284	25	2
236	284	25	1
237	284	25	1
244	284	25	1
245	284	25	1
247	284	25	1
252	284	25	1
215	285	25	1
232	285	25	2
234	285	25	1
235	285	25	1
236	285	25	1
239	285	25	1
241	285	25	1
244	285	25	1
252	285	25	1
253	285	25	2
232	286	25	1
240	286	25	1
242	286	25	1
250	286	25	1
252	286	25	1
223	287	25	3
237	287	25	1
238	287	25	2
245	287	25	3
224	288	25	1
239	288	25	1
250	289	25	2
252	289	25	1
225	290	25	1
238	290	25	1
240	290	25	1
243	290	25	3
246	290	25	1
249	290	25	1
236	291	25	1
238	291	25	1
239	291	25	2
240	291	25	1
241	291	25	2
245	291	25	2
246	291	25	1
235	292	25	2
237	292	25	2
238	292	25	1
243	292	25	2
244	292	25	1
249	292	25	2
239	293	25	1
240	293	25	1
244	293	25	1
247	293	25	1
241	294	25	4
242	294	25	1
247	294	25	2
237	295	25	1
240	295	25	1
241	295	25	1
238	296	25	1
242	296	25	1
239	297	25	2
227	300	25	1
238	300	25	1
239	302	25	2
183	258	26	1
182	260	26	2
229	262	26	1
231	264	26	1
232	265	26	1
230	267	26	1
234	267	26	1
235	268	26	1
236	268	26	1
229	269	26	4
236	269	26	1
235	270	26	1
236	270	26	1
250	270	26	1
229	271	26	1
235	271	26	1
224	272	26	1
226	272	26	3
232	272	26	1
231	273	26	1
248	273	26	1
236	274	26	1
238	274	26	1
232	275	26	1
233	275	26	1
235	275	26	1
236	275	26	1
237	275	26	1
239	275	26	1
248	275	26	1
215	276	26	4
233	276	26	1
234	276	26	1
235	276	26	1
238	276	26	1
239	276	26	1
244	276	26	1
210	277	26	1
213	277	26	2
230	277	26	1
231	277	26	2
232	277	26	2
234	277	26	1
235	277	26	2
239	277	26	1
247	277	26	1
249	277	26	1
250	277	26	1
232	278	26	1
234	278	26	1
235	278	26	2
236	278	26	1
237	278	26	1
239	278	26	1
243	278	26	4
207	279	26	1
231	279	26	2
232	279	26	2
234	279	26	2
237	279	26	1
239	279	26	1
241	279	26	1
249	279	26	1
250	279	26	1
232	280	26	1
233	280	26	1
236	280	26	4
238	280	26	1
240	280	26	1
241	280	26	3
242	280	26	2
247	280	26	1
248	280	26	3
217	281	26	2
232	281	26	1
234	281	26	1
235	281	26	1
236	281	26	1
239	281	26	2
209	282	26	1
215	282	26	1
229	282	26	1
234	282	26	1
235	282	26	1
240	282	26	2
242	282	26	2
251	282	26	1
209	283	26	1
227	283	26	3
231	283	26	1
234	283	26	1
238	283	26	1
239	283	26	1
248	283	26	2
253	283	26	2
254	283	26	3
214	284	26	2
234	284	26	1
235	284	26	1
238	284	26	3
242	284	26	2
246	284	26	1
248	284	26	1
250	284	26	1
252	284	26	2
211	285	26	1
236	285	26	1
240	285	26	1
245	285	26	1
247	285	26	1
250	285	26	1
225	286	26	2
237	286	26	1
241	286	26	1
242	286	26	1
246	286	26	4
252	286	26	1
254	286	26	1
224	287	26	2
234	287	26	2
238	287	26	1
243	287	26	1
247	287	26	1
252	287	26	1
253	287	26	1
240	288	26	1
245	288	26	1
253	288	26	2
222	289	26	2
223	289	26	1
227	289	26	2
231	289	26	1
232	289	26	1
233	289	26	1
237	289	26	1
240	289	26	1
242	289	26	1
248	289	26	1
250	289	26	2
251	289	26	2
252	289	26	1
225	290	26	2
233	290	26	2
237	290	26	3
243	290	26	1
226	291	26	1
229	291	26	2
232	291	26	1
236	291	26	1
238	291	26	2
240	291	26	2
242	291	26	2
249	291	26	1
237	292	26	1
240	292	26	1
247	292	26	1
250	292	26	2
251	292	26	1
252	292	26	2
236	293	26	1
239	293	26	1
244	293	26	1
245	293	26	1
247	293	26	1
253	293	26	2
235	294	26	1
239	294	26	1
243	294	26	2
245	294	26	1
234	295	26	1
237	295	26	1
239	295	26	2
240	295	26	1
242	295	26	1
248	295	26	1
254	295	26	1
235	296	26	1
242	296	26	1
237	297	26	1
240	297	26	1
244	297	26	1
235	298	26	1
239	298	26	2
240	298	26	1
236	299	26	1
239	299	26	1
240	299	26	1
241	299	26	2
243	299	26	2
225	300	26	1
227	300	26	1
241	300	26	3
235	301	26	1
181	257	27	1
186	257	27	1
184	258	27	2
215	258	27	1
232	258	27	1
180	259	27	1
183	259	27	2
185	259	27	1
188	259	27	1
226	259	27	2
228	259	27	2
231	259	27	1
176	260	27	1
184	260	27	1
186	260	27	1
227	260	27	1
233	260	27	1
237	260	27	1
240	260	27	1
177	261	27	2
180	261	27	1
181	261	27	1
184	261	27	2
185	261	27	3
186	261	27	1
220	261	27	1
222	261	27	2
229	261	27	1
232	261	27	1
234	261	27	2
236	261	27	1
239	261	27	1
177	262	27	1
233	262	27	2
175	263	27	2
178	263	27	2
179	263	27	1
181	263	27	1
182	263	27	1
215	263	27	1
227	263	27	1
230	263	27	3
231	263	27	1
232	263	27	1
239	263	27	2
175	264	27	1
176	264	27	1
186	264	27	2
209	264	27	1
224	264	27	1
225	264	27	2
228	264	27	2
231	264	27	1
234	264	27	1
239	264	27	1
240	264	27	1
248	264	27	1
189	265	27	2
225	265	27	1
226	265	27	1
233	265	27	2
234	265	27	1
235	265	27	2
237	265	27	1
238	265	27	1
239	265	27	1
240	265	27	2
201	266	27	1
215	266	27	1
217	266	27	2
221	266	27	1
235	266	27	2
237	266	27	1
239	266	27	2
217	267	27	1
226	267	27	1
228	267	27	1
231	267	27	1
233	267	27	1
234	267	27	1
240	267	27	1
249	267	27	1
250	267	27	2
180	268	27	2
181	268	27	2
197	268	27	2
214	268	27	3
217	268	27	1
219	268	27	1
222	268	27	1
223	268	27	1
226	268	27	2
227	268	27	1
229	268	27	1
230	268	27	1
231	268	27	1
232	268	27	1
236	268	27	1
237	268	27	1
239	268	27	1
240	268	27	2
247	268	27	4
248	268	27	2
177	269	27	1
178	269	27	2
180	269	27	4
207	269	27	1
214	269	27	1
215	269	27	2
225	269	27	2
229	269	27	1
231	269	27	2
232	269	27	1
233	269	27	1
238	269	27	1
240	269	27	3
241	269	27	3
178	270	27	2
179	270	27	1
181	270	27	1
192	270	27	1
207	270	27	1
215	270	27	1
217	270	27	2
218	270	27	1
227	270	27	2
228	270	27	1
234	270	27	2
236	270	27	1
237	270	27	1
243	270	27	1
244	270	27	1
248	270	27	1
177	271	27	1
181	271	27	1
209	271	27	1
210	271	27	1
215	271	27	1
216	271	27	1
217	271	27	2
226	271	27	1
230	271	27	1
231	271	27	1
236	271	27	2
238	271	27	1
239	271	27	2
240	271	27	1
243	271	27	1
249	271	27	4
251	271	27	1
176	272	27	1
181	272	27	1
203	272	27	1
204	272	27	1
207	272	27	3
213	272	27	1
214	272	27	4
215	272	27	1
217	272	27	2
220	272	27	1
229	272	27	1
237	272	27	1
240	272	27	1
249	272	27	1
250	272	27	2
251	272	27	2
183	273	27	1
203	273	27	1
206	273	27	4
207	273	27	2
210	273	27	1
212	273	27	1
213	273	27	2
215	273	27	1
220	273	27	1
223	273	27	1
227	273	27	2
231	273	27	1
232	273	27	2
237	273	27	3
241	273	27	1
247	273	27	1
248	273	27	1
249	273	27	1
177	274	27	2
179	274	27	2
203	274	27	1
207	274	27	1
208	274	27	1
212	274	27	3
214	274	27	1
216	274	27	1
224	274	27	1
226	274	27	2
227	274	27	1
228	274	27	1
232	274	27	1
233	274	27	2
238	274	27	3
239	274	27	1
241	274	27	1
250	274	27	1
254	274	27	1
184	275	27	1
211	275	27	2
214	275	27	1
222	275	27	1
230	275	27	2
232	275	27	1
235	275	27	3
236	275	27	2
238	275	27	1
240	275	27	1
245	275	27	2
246	275	27	1
252	275	27	2
254	275	27	2
205	276	27	2
207	276	27	1
208	276	27	1
209	276	27	3
210	276	27	1
213	276	27	1
214	276	27	2
215	276	27	3
219	276	27	1
220	276	27	1
230	276	27	1
232	276	27	2
234	276	27	2
238	276	27	1
239	276	27	1
247	276	27	1
204	277	27	1
205	277	27	1
208	277	27	1
212	277	27	1
218	277	27	1
232	277	27	1
235	277	27	1
240	277	27	1
245	277	27	2
246	277	27	1
248	277	27	1
250	277	27	1
