x	y	z	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
216.157603775171	275.673637444315	34.5586340221659	1
232	278	24	1
246	284	24	1
244	286	24	1
245	287	24	1
243	288	24	1
249	288	24	1
246	289	24	1
244	290	24	1
231	264	25	1
236	268	25	1
227	272	25	1
228	272	25	1
238	273	25	1
231	274	25	1
234	274	25	1
235	275	25	1
236	276	25	1
248	276	25	1
231	277	25	1
232	277	25	1
235	277	25	2
237	277	25	1
231	278	25	1
236	278	25	1
238	279	25	1
247	279	25	1
232	280	25	1
248	280	25	1
237	281	25	1
241	281	25	1
231	282	25	1
232	282	25	2
234	282	25	1
238	282	25	1
240	282	25	1
245	282	25	2
235	283	25	3
239	283	25	1
246	283	25	2
249	283	25	1
235	284	25	1
242	284	25	1
250	284	25	1
232	285	25	1
234	285	25	1
237	285	25	1
238	285	25	1
240	285	25	1
241	285	25	1
243	285	25	1
252	285	25	2
218	286	25	1
232	286	25	2
233	286	25	1
235	286	25	1
223	287	25	1
237	287	25	1
238	287	25	1
242	287	25	1
249	287	25	1
242	288	25	1
236	289	25	1
237	289	25	1
238	289	25	1
252	289	25	1
235	290	25	2
238	290	25	1
240	290	25	2
244	290	25	1
246	290	25	1
249	290	25	1
235	291	25	1
237	291	25	1
240	291	25	1
244	292	25	1
250	292	25	1
240	293	25	1
246	293	25	1
243	294	25	2
244	294	25	1
241	295	25	1
240	298	25	1
240	300	25	1
239	302	25	1
183	258	26	1
182	259	26	2
182	260	26	3
234	265	26	1
234	267	26	1
236	269	26	1
237	269	26	1
234	270	26	2
236	270	26	1
240	271	26	2
239	273	26	1
233	274	26	1
232	275	26	1
235	275	26	1
237	275	26	1
248	275	26	1
233	276	26	1
237	276	26	1
209	277	26	2
232	277	26	1
234	277	26	1
237	277	26	1
250	277	26	2
232	278	26	1
234	278	26	1
236	278	26	1
249	278	26	2
251	278	26	1
232	279	26	1
234	279	26	1
236	279	26	2
237	279	26	1
241	279	26	1
230	280	26	2
234	280	26	4
238	280	26	1
230	281	26	2
231	281	26	1
235	281	26	1
239	281	26	2
246	281	26	1
234	282	26	2
235	282	26	1
238	282	26	1
246	282	26	1
247	282	26	1
209	283	26	1
227	283	26	1
243	283	26	1
245	283	26	1
253	283	26	2
212	284	26	1
214	284	26	1
232	284	26	1
233	284	26	1
238	284	26	1
241	284	26	1
243	284	26	1
252	284	26	1
212	285	26	3
214	285	26	1
234	285	26	1
250	285	26	1
255	285	26	1
235	286	26	2
236	286	26	1
237	286	26	1
240	286	26	2
241	286	26	1
243	286	26	1
246	286	26	1
247	286	26	1
248	286	26	1
249	286	26	1
251	286	26	1
252	286	26	1
253	286	26	1
254	286	26	1
228	287	26	1
236	287	26	1
247	287	26	1
250	287	26	1
252	287	26	1
240	288	26	1
245	288	26	1
252	288	26	1
236	289	26	1
243	289	26	2
250	289	26	1
251	289	26	1
227	290	26	1
226	291	26	1
229	291	26	2
232	291	26	1
237	291	26	1
238	291	26	1
240	291	26	2
242	291	26	1
244	291	26	1
245	291	26	1
246	291	26	1
249	291	26	1
225	292	26	1
242	292	26	1
246	292	26	1
