x	y	z	Activation of BH3-only proteins
240	277	24	1
235	278	24	2
246	284	24	2
246	287	24	2
243	288	24	1
244	288	24	1
245	288	24	1
244	289	24	1
249	289	24	1
244	291	24	1
231	264	25	1
230	272	25	2
227	273	25	1
235	273	25	2
238	273	25	2
233	274	25	2
234	274	25	2
235	275	25	1
237	275	25	1
234	276	25	1
236	276	25	1
237	276	25	1
239	276	25	2
240	276	25	1
233	277	25	2
235	277	25	3
236	277	25	1
234	278	25	1
236	278	25	1
237	278	25	1
239	278	25	1
231	279	25	1
232	279	25	1
233	279	25	1
235	279	25	3
236	279	25	1
232	280	25	2
233	280	25	1
234	280	25	1
239	280	25	1
240	281	25	1
241	281	25	2
214	282	25	2
235	282	25	1
237	282	25	2
238	282	25	1
239	282	25	2
240	282	25	1
245	282	25	1
249	282	25	1
232	283	25	1
234	283	25	1
237	283	25	1
240	283	25	1
241	283	25	1
247	283	25	1
213	284	25	1
235	284	25	1
236	284	25	2
247	284	25	1
215	285	25	1
234	285	25	1
235	285	25	1
244	285	25	2
246	285	25	1
248	285	25	1
252	285	25	1
253	285	25	3
232	286	25	1
235	286	25	1
236	286	25	1
245	286	25	1
242	287	25	1
246	287	25	1
252	287	25	1
237	288	25	1
242	288	25	1
226	289	25	1
238	289	25	1
244	289	25	1
250	289	25	1
225	290	25	1
234	290	25	1
236	290	25	1
237	290	25	2
240	290	25	1
243	290	25	2
244	290	25	1
246	290	25	1
234	291	25	1
235	291	25	1
236	291	25	3
237	291	25	1
250	291	25	1
237	292	25	1
242	292	25	1
249	292	25	1
250	292	25	1
243	294	25	1
246	294	25	1
247	294	25	1
234	295	25	3
237	295	25	1
240	295	25	1
245	295	25	1
238	296	25	1
244	296	25	2
243	297	25	2
182	259	26	2
232	263	26	1
237	266	26	1
235	268	26	1
241	268	26	1
236	269	26	1
237	269	26	1
237	270	26	2
240	270	26	1
250	270	26	2
240	271	26	1
217	272	26	2
223	272	26	1
232	272	26	1
237	273	26	2
248	273	26	1
231	274	26	1
233	274	26	2
232	275	26	1
233	275	26	1
235	275	26	1
236	275	26	2
239	275	26	1
249	275	26	1
231	276	26	1
233	276	26	1
235	276	26	1
237	276	26	1
248	276	26	1
250	276	26	1
210	277	26	1
213	277	26	1
230	277	26	1
231	277	26	1
239	277	26	2
247	277	26	1
231	278	26	2
240	278	26	1
249	278	26	1
251	278	26	1
252	278	26	1
236	279	26	1
248	279	26	1
249	279	26	1
250	279	26	1
208	280	26	1
232	280	26	2
236	280	26	1
247	280	26	1
248	280	26	1
217	281	26	1
235	281	26	1
236	281	26	1
240	281	26	1
244	281	26	2
212	282	26	1
215	282	26	1
229	282	26	1
233	282	26	1
234	282	26	1
245	282	26	1
247	282	26	2
253	282	26	1
254	282	26	1
233	283	26	3
248	283	26	2
214	284	26	1
215	284	26	1
235	284	26	1
238	284	26	1
250	284	26	1
214	285	26	1
235	285	26	1
236	285	26	1
246	285	26	1
247	285	26	1
250	285	26	2
225	286	26	1
243	286	26	2
246	286	26	1
249	286	26	1
250	286	26	1
251	286	26	1
252	286	26	1
253	286	26	2
224	287	26	2
228	287	26	1
232	287	26	1
234	287	26	1
236	287	26	2
238	287	26	1
248	287	26	1
232	288	26	1
236	288	26	1
240	288	26	1
249	288	26	1
252	288	26	1
222	289	26	1
232	289	26	1
236	289	26	1
238	289	26	2
248	289	26	1
251	289	26	1
233	290	26	1
237	290	26	1
240	290	26	1
242	290	26	1
243	290	26	1
244	290	26	1
226	292	26	1
238	292	26	1
244	292	26	1
246	292	26	1
250	292	26	3
252	292	26	1
234	293	26	1
239	293	26	1
244	293	26	1
237	294	26	1
243	294	26	4
244	294	26	1
245	294	26	2
246	294	26	1
249	294	26	1
221	295	26	1
222	295	26	1
240	295	26	1
248	295	26	1
254	295	26	1
235	296	26	2
240	296	26	1
241	296	26	1
242	296	26	1
243	296	26	1
240	297	26	2
244	297	26	1
246	297	26	1
235	298	26	1
239	298	26	2
242	298	26	1
246	298	26	1
236	299	26	1
239	299	26	1
240	299	26	1
225	300	26	1
227	300	26	1
184	255	27	1
184	256	27	1
183	257	27	1
186	257	27	1
180	259	27	1
231	259	27	1
232	259	27	1
176	260	27	2
181	260	27	1
186	260	27	1
226	260	27	1
227	260	27	1
181	261	27	1
185	261	27	1
186	261	27	1
187	261	27	2
222	261	27	1
231	261	27	2
236	261	27	1
237	261	27	1
177	262	27	1
184	262	27	1
233	262	27	1
238	262	27	1
178	263	27	2
179	263	27	1
181	263	27	1
182	263	27	2
183	263	27	1
184	263	27	2
211	263	27	2
215	263	27	1
225	263	27	1
227	263	27	2
234	263	27	1
236	263	27	1
180	264	27	1
209	264	27	2
219	264	27	1
222	264	27	1
225	264	27	1
228	264	27	1
229	264	27	1
232	264	27	1
234	264	27	1
240	264	27	1
181	265	27	1
212	265	27	1
215	265	27	1
221	265	27	2
225	265	27	2
226	265	27	1
232	265	27	1
233	265	27	2
235	265	27	1
178	266	27	1
201	266	27	1
217	266	27	1
224	266	27	2
227	266	27	1
229	266	27	1
230	266	27	1
215	267	27	1
217	267	27	1
226	267	27	1
229	267	27	1
235	267	27	2
239	267	27	1
249	267	27	2
179	268	27	1
180	268	27	1
207	268	27	2
213	268	27	1
215	268	27	1
219	268	27	1
223	268	27	1
225	268	27	1
230	268	27	1
232	268	27	1
233	268	27	2
235	268	27	2
237	268	27	1
177	269	27	1
211	269	27	1
224	269	27	1
229	269	27	1
235	269	27	1
238	269	27	1
242	269	27	1
243	269	27	1
179	270	27	1
181	270	27	1
192	270	27	1
227	270	27	2
228	270	27	1
230	270	27	1
231	270	27	1
234	270	27	1
238	270	27	1
239	270	27	1
244	270	27	2
248	270	27	1
177	271	27	1
178	271	27	2
180	271	27	1
181	271	27	1
206	271	27	1
208	271	27	3
215	271	27	1
217	271	27	2
230	271	27	1
236	271	27	1
238	271	27	1
242	271	27	1
250	271	27	2
204	272	27	1
207	272	27	1
208	272	27	1
215	272	27	1
222	272	27	1
227	272	27	1
229	272	27	1
231	272	27	1
234	272	27	1
235	272	27	2
239	272	27	1
240	272	27	1
241	272	27	1
247	272	27	2
250	272	27	1
210	273	27	1
211	273	27	2
212	273	27	2
213	273	27	1
214	273	27	1
229	273	27	1
231	273	27	1
238	273	27	1
247	273	27	1
248	273	27	2
249	273	27	1
251	273	27	1
177	274	27	1
182	274	27	1
203	274	27	1
206	274	27	1
207	274	27	1
213	274	27	2
224	274	27	1
227	274	27	1
229	274	27	1
232	274	27	1
237	274	27	1
238	274	27	1
241	274	27	1
250	274	27	1
182	275	27	2
184	275	27	1
208	275	27	1
211	275	27	2
213	275	27	1
214	275	27	1
220	275	27	1
222	275	27	1
230	275	27	2
232	275	27	1
236	275	27	1
237	275	27	1
239	275	27	1
246	275	27	1
249	275	27	1
250	275	27	1
252	275	27	1
205	276	27	1
206	276	27	1
208	276	27	2
210	276	27	1
213	276	27	1
214	276	27	1
215	276	27	1
217	276	27	1
219	276	27	1
227	276	27	1
232	276	27	2
240	276	27	1
244	276	27	2
246	276	27	1
210	277	27	2
211	277	27	1
213	277	27	2
215	277	27	2
218	277	27	1
220	277	27	1
227	277	27	1
231	277	27	1
235	277	27	1
236	277	27	1
237	277	27	1
239	277	27	1
244	277	27	1
246	277	27	1
249	277	27	1
204	278	27	1
211	278	27	2
213	278	27	1
225	278	27	1
230	278	27	2
232	278	27	3
235	278	27	1
245	278	27	1
249	278	27	1
251	278	27	2
252	278	27	1
207	279	27	1
210	279	27	1
239	279	27	2
246	279	27	1
247	279	27	1
248	279	27	1
207	280	27	1
209	280	27	1
232	280	27	2
235	280	27	1
241	280	27	2
242	280	27	1
244	280	27	1
245	280	27	1
252	280	27	1
206	281	27	1
207	281	27	2
210	281	27	3
228	281	27	1
229	281	27	2
230	281	27	1
231	281	27	3
239	281	27	1
241	281	27	1
246	281	27	1
257	281	27	1
206	282	27	2
210	282	27	1
212	282	27	2
213	282	27	1
214	282	27	2
215	282	27	1
216	282	27	1
237	282	27	1
238	282	27	1
241	282	27	2
249	282	27	2
252	282	27	1
206	283	27	1
207	283	27	1
216	283	27	1
228	283	27	1
236	283	27	1
244	283	27	2
248	283	27	2
249	283	27	1
253	283	27	1
255	283	27	1
256	283	27	1
208	284	27	1
210	284	27	1
232	284	27	1
241	284	27	2
251	284	27	1
206	285	27	1
210	285	27	1
212	285	27	1
215	285	27	1
219	285	27	1
239	285	27	2
242	285	27	2
247	285	27	1
255	285	27	1
214	286	27	1
216	286	27	2
219	286	27	3
224	286	27	1
232	286	27	1
234	286	27	2
235	286	27	1
236	286	27	1
237	286	27	2
251	286	27	1
256	286	27	1
258	286	27	1
