x	y	z	Interferon alpha/beta signaling
240	286	21	2
239	272	24	3
232	278	24	2
237	278	24	2
245	284	24	1
246	284	24	1
244	286	24	2
248	286	24	1
245	287	24	3
246	287	24	1
251	287	24	1
249	288	24	1
244	289	24	2
249	289	24	1
244	291	24	1
231	268	25	1
236	268	25	3
233	269	25	1
238	270	25	1
227	272	25	1
228	272	25	1
233	272	25	1
238	272	25	2
227	273	25	1
235	273	25	2
236	273	25	1
238	273	25	2
233	274	25	1
234	274	25	1
235	274	25	1
235	275	25	2
236	275	25	1
237	275	25	1
232.5	276.5	25.5	1
233	276	25	2
247	277	25	1
233	278	25	1
236	278	25	1
237	278	25	1
239	278	25	1
231	279	25	1
235	279	25	1
236	279	25	2
237	279	25	1
239	279	25	1
241	279	25	1
249	279	25	2
245	280	25	1
248	280	25	1
237	281	25	2
241	281	25	1
245	281	25	1
248	281	25	1
249	281	25	1
232	282	25	3
235	282	25	1
239	282	25	2
245	282	25	1
247	282	25	3
249	282	25	1
232	283	25	2
233	283	25	2
236	283	25	1
240	283	25	1
249	283	25	2
233	284	25	2
234	284	25	3
235	284	25	1
237	284	25	1
242	284	25	1
245	284	25	1
247	284	25	3
232	285	25	1
238	285	25	1
240	285	25	2
241	285	25	2
248	285	25	2
250	285	25	1
253	285	25	1
218	286	25	1
233	286	25	1
234	286	25	1
235	286	25	1
241	286	25	1
245	286	25	1
254	286	25	1
238	287	25	2
242	287	25	1
245	287	25	1
251	287	25	1
252	287	25	3
235	288	25	2
236	288	25	1
237	288	25	1
251	288	25	1
234	289	25	1
235	289	25	2
236	289	25	1
237	289	25	2
241	289	25	1
244	289	25	2
248.5	289.5	25.5	1
250	289	25	1
252	289	25	1
235	290	25	2
236	290	25	1
238	290	25	1
240	290	25	1
243	290	25	1
244	290	25	2
246	290	25	1
249	290	25	1
250	290	25	1
226	291	25	1
234	291	25	1
235	291	25	1
236	291	25	1
238	291	25	1
239	291	25	1
241	291	25	2
242	291	25	1
245	291	25	4
246	291	25	1
250	291	25	1
251	291	25	1
235	292	25	2
239	292	25	1
243	292	25	1
244	292	25	1
249	292	25	1
239	293	25	2
243	293	25	2
244	293	25	1
246	293	25	1
247	293	25	1
240	294	25	1
242	294	25	1
243	294	25	2
244	294	25	2
246	294	25	1
237	295	25	1
240	295	25	2
243	295	25	1
245	295	25	1
244	296	25	1
246	296	25	2
247	296	25	1
239	297	25	1
241	299	25	1
240	300	25	1
239	302	25	1
183	258	26	1
176	259	26	1
182	259	26	1
182	260	26	1
229	264	26	1
232	265	26	2
237	266	26	1
235	267	26	1
241	267	26	1
233	268	26	1
236	268	26	2
228	269	26	1
237	269	26	1
227	270	26	1
238	270	26	2
240	270	26	1
229	271	26	3
223	272	26	1
230	272	26	1
234	272	26	2
236	272	26	1
231	273	26	1
237	273	26	2
249	273	26	2
231	274	26	2
233	274	26	1
232	275	26	2
237	275	26	2
239	275	26	1
245	275	26	1
248	275	26	1
250	275	26	1
207	276	26	1
231	276	26	1
233	276	26	1
234	276	26	2
237	276	26	2
239	276	26	1
250	276	26	1
207	277	26	1
213	277	26	1
235	277	26	1
236	277	26	1
247	277	26	1
249	277	26	1
231	278	26	2
232	278	26	3
236	278	26	1
240	278	26	1
243	278	26	1
249	278	26	2
252	278	26	1
232	279	26	1
236	279	26	1
246	279	26	1
208	280	26	1
230	280	26	2
232	280	26	3
233	280	26	1
238	280	26	1
242	280	26	1
248	280	26	1
249	280	26	1
250	280	26	2
217	281	26	1
231	281	26	1
232	281	26	1
235	281	26	1
237	281	26	1
240	281	26	2
249	281	26	1
212	282	26	1
229	282	26	2
238	282	26	1
240	282	26	3
242	282	26	1
249	282	26	1
250	282	26	1
251	282	26	1
209	283	26	1
239	283	26	1
245	283	26	1
252	283	26	1
253	283	26	1
254	283	26	1
214	284	26	2
215	284	26	1
232	284	26	1
238	284	26	2
214	285	26	1
232	285	26	1
236	285	26	2
244	285	26	1
246	285	26	1
247	285	26	1
250	285	26	1
253	285	26	1
254	285	26	2
216	286	26	1
225	286	26	1
232	286	26	2
233	286	26	1
234	286	26	3
235	286	26	1
236	286	26	1
237	286	26	3
241	286	26	1
243	286	26	2
247	286	26	2
248	286	26	1
252	286	26	1
232	287	26	1
237	287	26	1
239	287	26	2
243	287	26	1
248	287	26	2
249	287	26	2
250	287	26	2
251	287	26	1
232	288	26	1
241	288	26	1
243	288	26	1
245	288	26	1
248	288	26	2
249	288	26	1
250	288	26	1
252	288	26	2
253	288	26	1
233	289	26	2
234	289	26	1
236	289	26	1
237	289	26	1
238	289	26	1
240	289	26	1
242	289	26	2
251	289	26	1
225	290	26	1
227	290	26	1
233	290	26	1
237	290	26	1
242	290	26	1
243	290	26	1
244	290	26	2
250	290	26	1
222	291	26	1
226	291	26	1
235	291	26	1
236	291	26	3
238	291	26	1
242	291	26	1
244	291	26	2
250	291	26	4
238	292	26	1
239	292	26	2
242	292	26	1
246	292	26	3
247	292	26	2
254	292	26	1
236	293	26	2
237	293	26	3
238	293	26	3
240	293	26	1
245	293	26	2
220	294	26	2
235	294	26	1
239	294	26	1
240	294	26	2
245	294	26	1
249	294	26	2
234	295	26	1
237	295	26	1
239	295	26	1
242	295	26	2
245	295	26	1
254	295	26	2
235	296	26	4
240	296	26	2
242	296	26	1
243	296	26	1
239	297	26	1
240	297	26	2
242	297	26	1
244	297	26	2
235	298	26	1
239	298	26	2
240	298	26	1
246	298	26	1
239	299	26	1
241	299	26	1
227	300	26	1
236	300	26	1
235	301	26	1
184	258	27	1
215	258	27	1
180	259	27	1
183	259	27	1
188	259	27	1
226	259	27	1
184	260	27	2
185	260	27	1
186	260	27	2
226	260	27	1
227	260	27	1
235	260	27	3
237	260	27	1
240	260	27	1
177	261	27	2
181	261	27	3
182	261	27	2
184	261	27	2
185	261	27	1
187	261	27	1
220	261	27	1
222	261	27	1
228	261	27	2
229	261	27	2
230	261	27	1
234	261	27	1
239	261	27	1
177	262	27	2
186	262	27	1
227	262	27	2
229	262	27	1
232	262	27	1
233	262	27	1
236	262	27	1
238	262	27	1
239	262	27	1
175	263	27	2
179	263	27	2
182	263	27	3
184	263	27	1
225	263	27	1
229	263	27	2
230	263	27	1
232	263	27	2
234	263	27	1
235	263	27	1
236	263	27	1
186	264	27	1
225	264	27	1
229	264	27	1
232	264	27	1
239	264	27	1
181	265	27	2
184	265	27	1
215	265	27	1
226	265	27	1
233	265	27	1
234	265	27	1
235	265	27	2
236	265	27	1
237	265	27	1
